"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"124","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","86510.03562029536","313.7579578411469"
"125","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","75426.52863203203","272.7135083215613"
"126","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","67679.99196407861","328.885486206183"
"127","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","74507.71971225392","242.67591087098023"
"123","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","83962.52671718346","93.98110292835806"
"128","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","80986.65706699547","291.6203078609107"
"130","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","74676.13710058063","278.16718468910983"
"131","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","76809.01371058545","119.68261699707335"
"132","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","79206.0747991921","209.4341532047145"
"133","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","73299.5769412026","25.35118298581616"
"129","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","73279.88355843847","135.99803308313528"
"134","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","76578.7234295473","110.65292816474158"
"135","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","72914.8496650469","423.34677024422643"
"136","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","83012.55780971512","128.0969561064126"
"108","0.1","""exp utility""","0.01","0.05","10","""neighbors""","1","25","100","1","""wealth""","24","75674.53846447758","255.06402249193113"
"137","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","76847.27876064948","174.8285144096965"
"139","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","73021.08066102605","471.40319401768096"
"141","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","77685.73136630507","270.7104057964676"
"142","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","78305.92346846774","217.2769213877267"
"138","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","79367.90380369664","192.00210862651056"
"143","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","71664.58423274156","311.34637735943664"
"144","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","76166.87330715523","304.1538300694752"
"145","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","84085.6309943243","84.66673005328113"
"140","0.1","""exp utility""","0.01","0.06","10","""neighbors""","1","25","100","1","""wealth""","24","85974.24500755372","191.78755668555445"
"147","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","87669.0174654318","134.5615540008399"
"148","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","78142.65716997867","146.74192039857172"
"150","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","74073.84396167946","307.61209564007834"
"146","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","70105.44204415783","253.1368720707741"
"151","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","72213.1014084528","56.9621253619056"
"153","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","72730.81460469992","197.3419184185426"
"154","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","81334.27211803425","137.67455320105927"
"155","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","73051.69759232299","252.83071333810187"
"156","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","82994.7411986876","209.1199038287788"
"157","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","79050.86177454522","32.84761241671093"
"158","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","73992.51427680215","86.36514716889313"
"149","0.1","""exp utility""","0.01","0.07","10","""neighbors""","1","25","100","1","""wealth""","24","81448.39231910283","163.80762998115625"
