"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"02/18/2016 09:01:54:816 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"272","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","190591.38980078424"
"274","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","120161.42442349247"
"275","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","194926.09890793567"
"276","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","181313.36857911682"
"278","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","183352.6180665992"
"277","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","221161.07811356435"
"279","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","189116.16639720002"
"280","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","147190.74963713897"
"281","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","150711.51771643508"
"282","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","236153.02665466894"
"284","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","182521.19708393552"
"283","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","184780.14992857544"
"285","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","183541.94339864267"
"286","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","165881.83573772453"
"287","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","198619.190381788"
"288","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","167180.9289181102"
"289","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","180960.9222408588"
"290","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","185938.93415930143"
"291","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","197134.6193279348"
"292","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","205025.49675371"
"293","0.1","""red""","""radius""","0.01","""exp utility""","10","9","25","24","188495.4457030799"
