"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"120","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","89919.4334983348","5239.786005555841","0.030596543955094556"
"119","25","""neighbors""","10","0.01","1","""exp utility""","100","0.75","0.1","""wealth""","24","99413.56876775209","5506.046618772683","0.034372252332714584"
"121","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","99038.3265638857","5767.235805501758","0.03153868846847227"
"123","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","105141.05428553594","5879.769973933871","0.03244324089842282"
"124","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","92325.36862180034","5681.53384475075","0.03452702493407809"
"122","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","99064.31270296194","5977.619382464987","0.03258178957513593"
"126","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","98314.26428090296","5671.593201706127","0.03316446667426337"
"125","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","107796.96193094598","5817.846260514622","0.031950475275981216"
"127","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","102324.7167728501","5845.740320485148","0.03317932875369985"
"130","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","91735.48063906694","5940.924225424619","0.03261291147488531"
"128","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","104533.8860968439","5882.452794651998","0.03257688321086107"
"129","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","106855.83917352975","6126.080074405747","0.031393204662366246"
"131","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","110755.76146707257","5890.565612674669","0.032318063010639414"
"132","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","96461.12604299303","5683.867263205079","0.03402143472885559"
"133","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","87359.97077741541","5990.836818330314","0.03427384236183954"
"134","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","96356.8783791286","5876.94601158243","0.033517260680473254"
"135","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","98368.80681596062","5668.557733085573","0.030299817360335525"
"136","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","99495.94448917966","5600.388192461196","0.03136343986976166"
"137","25","""neighbors""","10","0.01","1","""exp utility""","100","0.8","0.1","""wealth""","24","98456.84393963977","5929.539716942701","0.03648246409768661"
